"street_type","name"
"Вулиця","15 Квітня"
"Вулиця","А. Малишка"
"Вулиця","А. Манастирського"
"Вулиця","А. Чайковського"
"Вулиця","А. Чехова"
"Вулиця","Агрономічна"
"Вулиця","Академіка В. Гнатюка"
"Вулиця","Академіка І. Горбачевського"
"Вулиця","Академіка Корольова"
"Вулиця","Академіка О. Брюкнера"
"Вулиця","Академіка С. Балея"
"Вулиця","Академіка С. Дністрянського"
"Вулиця","Академіка Сахарова"
"Вулиця","Академіка Студинського"
"Хутір","Анастазівка"
"Вулиця","Б. Лепкого"
"Вулиця","Б. Хмельницького"
"Вулиця","Багата"
"Вулиця","Бенцаля"
"Вулиця","Бережанська"
"Вулиця","Березова"
"Вулиця","Білецька"
"Вулиця","Білогірська"
"Вулиця","Бойківська"
"Вулиця","Бордуляка"
"Вулиця","Братів Бойчуків"
"Вулиця","Братів Гжицьких"
"Вулиця","Бригадна"
"Вулиця","Броварна"
"Провулок","Броварний"
"Вулиця","Бродівська"
"Вулиця","В. Безкоровайного"
"Вулиця","В. Болюха"
"Вулиця","В. Будзиновського"
"Вулиця","В. Винниченка"
"Вулиця","В. Громницького"
"Вулиця","В. Симоненка"
"Вулиця","В. Сімовича"
"Вулиця","В. Стефаника"
"Вулиця","В. Юрчака"
"Вулиця","В. Ярмуша"
"Вулиця","В’ячеслава Чорновола"
"Вулиця","Валова"
"Вулиця","Василя Стуса"
"Вулиця","Вербова"
"Вулиця","Вертепна"
"Вулиця","Весела"
"Вулиця","Вишнева"
"Вулиця","Вільхова"
"Вулиця","Волинська"
"Майдан","Волі"
"Вулиця","Володимира Великого"
"Вулиця","Вояків дивізії ""Галичина"""
"Вулиця","вул. Зарічна"
"Вулиця","Г. Коллонтая"
"Вулиця","Г.Хоткевича"
"Вулиця","Гайова"
"Вулиця","Гайова-бічна"
"Вулиця","Галицька"
"Провулок","Галицький"
"Вулиця","Генерала І. Черняховського"
"Вулиця","Генерала М. Тарнавського"
"Вулиця","Генерала Шухевича"
"Вулиця","Генерала Ю. Тютюнника"
"Вулиця","Гетьмана І. Виговського"
"Вулиця","Гетьмана І. Мазепи"
"Вулиця","Гетьмана П. Дорошенка"
"Вулиця","Гетьмана П. Орлика"
"Вулиця","Гетьмана Сагайдачного"
"Вулиця","Глибока"
"Вулиця","Глибока Долина"
"Вулиця","Глибочанська"
"Вулиця","Глиняна"
"Вулиця","Городна"
"Вулиця","Грабовського"
"Вулиця","Гуцульська"
"Вулиця","Д. Лук’яновича"
"Вулиця","Д. Січинського"
"Вулиця","Далека"
"Бульвар","Данила Галицького"
"Вулиця","Деповська"
"Вулиця","Дівоча"
"Провулок","Дівочий"
"Вулиця","Ділова"
"Бульвар","Дмитра Вишневецького"
"Вулиця","Довбуша"
"Вулиця","Доли"
"Вулиця","Достоєвського"
"Вулиця","Дружби"
"Вулиця","Дубовецька"
"Вулиця","Енергетична"
"Вулиця","Є. Гребінки"
"Вулиця","Є. Гріга"
"Вулиця","Є. Коновальця"
"Вулиця","Є. Петрушевича"
"Вулиця","Живова"
"Вулиця","За Рудкою"
"Провулок","За Рудкою"
"Вулиця","Загребельна"
"Вулиця","Заміська"
"Вулиця","Замкова"
"Вулиця","Замонастирська"
"Провулок","Замонастирський"
"Вулиця","Зацерковна"
"Вулиця","Збаразька"
"Провулок","Збаразький"
"Вулиця","Зелена"
"Проспект","Злуки"
"Вулиця","Золотогірська"
"Вулиця","І. Богуна"
"Вулиця","І. Вагилевича"
"Вулиця","І. Котляревського"
"Вулиця","І. Підкови"
"Провулок","І. Підкови"
"Вулиця","І. Пулюя"
"Вулиця","І. Репина"
"Вулиця","І. Франка"
"Вулиця","Й. Перля"
"Вулиця","Калинова"
"Вулиця","Камінна"
"Вулиця","Канадська"
"Вулиця","Кардинала Сліпого"
"Вулиця","Квітова"
"Вулиця","Київська"
"Вулиця","Клима Савури"
"Вулиця","Клінічна"
"Вулиця","Князя Острозького"
"Вулиця","Козацька"
"Вулиця","Коперника"
"Вулиця","Кошового І. Сірка"
"Вулиця","Куток"
"Вулиця","Л. Толстого"
"Вулиця","Лемківська"
"Вулиця","Лесі Українки"
"Вулиця","Леся Курбаса"
"Вулиця","Липова"
"Вулиця","Листопадова"
"Вулиця","Лісова"
"Вулиця","Лозовецька"
"Вулиця","Лучаківського"
"Вулиця","Львівська"
"Вулиця","М. Вербицького"
"Вулиця","М. Глінки"
"Вулиця","М. Гоголя"
"Вулиця","М. Грушевського"
"Вулиця","М. Драгоманова"
"Вулиця","М. Карпенка"
"Вулиця","М. Коцюбинського"
"Вулиця","М. Лисенка"
"Вулиця","М. Ломоносова"
"Вулиця","М. Михалевича"
"Вулиця","М. Паращука"
"Вулиця","М. Рудницького"
"Вулиця","М. Шашкевича"
"Вулиця","Макаренка"
"Вулиця","Максима Кривоноса"
"Вулиця","Марка Вовчка"
"Вулиця","Медобірна"
"Вулиця","Медова"
"Вулиця","Межова"
"Вулиця","Микулинецька"
