"street_type","name"
"Бульвар","Дружби Народів"
"Вулиця","Авіаторів"
"Вулиця","Агатангела Кримського"
"Вулиця","Агрономічна"
"Вулиця","Айвазовського"
"Вулиця","Андрузького"
"Вулиця","Арцеулова"
"Вулиця","Баженова"
"Вулиця","Базарна"
"Вулиця","Балакірєва"
"Вулиця","Балтійська"
"Вулиця","Бандери Степана"
"Вулиця","Баранова"
"Вулиця","Баумана"
"Вулиця","Безіменна"
"Вулиця","Бенделіані"
"Вулиця","Березова"
"Вулиця","Берестечківська"
"Вулиця","Берестова"
"Вулиця","Бесараб Ольги"
"Вулиця","Бєлінського"
"Вулиця","Бічна"
"Вулиця","Богдана Хмельницького"
"Вулиця","Богомольця"
"Вулиця","Боженка"
"Вулиця","Бойка"
"Вулиця","Боровиковського"
"Вулиця","Бородіна"
"Вулиця","Боткіна"
"Вулиця","Братковського"
"Вулиця","Брестська"
"Вулиця","Бринського"
"Вулиця","Брюлова"
"Вулиця","Будівельників"
"Вулиця","Бурчака Нестора"
"Вулиця","В'ячеслава Чорновола"
"Вулиця","Вавілова"
"Вулиця","Ванди Василевської"
"Вулиця","Василя Стуса"
"Вулиця","Ватутіна"
"Вулиця","Вахтангова"
"Вулиця","Вербова"
"Вулиця","Вересая"
"Вулиця","Вереснева"
"Вулиця","Верещагіна"
"Вулиця","Вериківського"
"Вулиця","Весела"
"Вулиця","Весняна"
"Вулиця","Ветеранів"
"Вулиця","Виговського"
"Вулиця","Винниченка"
"Вулиця","Вишенського"
"Вулиця","Вишківська"
"Вулиця","Вишнева"
"Вулиця","Вишнівецька"
"Вулиця","Вільямса"
"Вулиця","Вітковського"
"Вулиця","Воїнів Інтернаціоналістів"
"Вулиця","Волгоградська"
"Вулиця","Волинська"
"Вулиця","Володарського"
"Вулиця","Володимирська"
"Вулиця","Воровського"
"Вулиця","Вороніхіна"
"Вулиця","Гаврилюка"
"Вулиця","Гайдамацька"
"Вулиця","Галшки Гулевичівни"
"Вулиця","Гастелло"
"Вулиця","Генерала Шухевича"
"Вулиця","Героїв УПА"
"Вулиця","Гетьмана Дорошенка"
"Вулиця","Гетьмана Мазепи"
"Вулиця","Гетьмана Сагайдачного"
"Вулиця","Гірна"
"Вулиця","Глибока"
"Вулиця","Глібова"
"Вулиця","Глієра"
"Вулиця","Глінки"
"Вулиця","Глушець"
"Вулиця","Гнатюка"
"Вулиця","Гнідавська"
"Вулиця","Говорова"
"Вулиця","Гоголя"
"Вулиця","Гончара"
"Вулиця","Гончарівка"
"Вулиця","Гончарова"
"Вулиця","Гордіюк"
"Вулиця","Горіхова"
"Вулиця","Горішня"
"Вулиця","Городецька"
"Вулиця","Госпітальна"
"Вулиця","Гостинна"
"Вулиця","Грабова"
"Вулиця","Грабовського"
"Вулиця","Градний узвіз"
"Вулиця","Гребінки"
"Вулиця","Грекова"
"Вулиця","Гречана"
"Вулиця","Григорія Андрузького"
"Вулиця","Григорія Гуляницького"
"Вулиця","Гризодубової"
"Вулиця","Громової"
"Вулиця","Гулака-Артемовського"
"Вулиця","Гущанська"
"Вулиця","Далека"
"Вулиця","Данила Галицького"
"Вулиця","Даньшина"
"Вулиця","Дарвіна"
"Вулиця","Даргомижського"
"Вулиця","Дачна"
"Вулиця","Декабристів"
"Вулиця","Дмитра Донцова"
"Вулиця","Дністрянського"
"Вулиця","Добролюбова"
"Вулиця","Довженка"
"Вулиця","Докучаєва"
"Вулиця","Драгоманова"
"Вулиця","Дубнівська"
"Вулиця","Дубова"
"Вулиця","Електроапаратна"
"Вулиця","Єрмолової"
"Вулиця","Єршова"
"Вулиця","Жовтнева"
"Вулиця","Жуковського"
"Вулиця","Журавлина"
"Вулиця","Заводська"
"Вулиця","Загородня"
"Вулиця","Залізна"
"Вулиця","Залізнична"
"Вулиця","Залізняка"
"Вулиця","Замкова"
"Вулиця","Заньковецької"
"Вулиця","Заповітна"
"Вулиця","Запорізька"
"Вулиця","Зарічна"
"Вулиця","Застав'я"
"Вулиця","Затишна"
"Вулиця","Захарова"
"Вулиця","Західна"
"Вулиця","Зацепи"
"Вулиця","Збаразька"
"Вулиця","Зв'язківців"
"Вулиця","Зелена"
"Вулиця","Земнухова"
"Вулиця","Зої Космодем'янської"
"Вулиця","Івана Мазепи"
"Вулиця","Ізмайлова"
"Вулиця","Індустріальна"
"Вулиця","Іова Кондзелевича"
"Вулиця","Калинова"
"Вулиця","Караїмська"
"Вулиця","Карбишева"
"Вулиця","Кармелюка"
"Вулиця","Карпенка-Карого"
"Вулиця","Кафедральна"
"Вулиця","Качалова"
"Вулиця","Каштанова"
"Вулиця","Квітова"
"Вулиця","Ківерцівська"
"Вулиця","Кічкарівська"
"Вулиця","Клари Цеткін"
"Вулиця","Кленова"
"Вулиця","Клима Савура"
"Вулиця","Княгинівська"
"Вулиця","Князів Острозьких"
"Вулиця","Князів Ружинських"
"Вулиця","Кобилянської"
"Вулиця","Ковалевської"
"Вулиця","Ковельська"
"Вулиця","Ковпака"
"Вулиця","Козакова"
"Вулиця","Кольцова"
"Вулиця","Комка"
"Вулиця","Кондратюка"
"Вулиця","Коновальця"
"Вулиця","Конякіна"
"Вулиця","Кооперативна"
"Вулиця","Копачівська"
"Вулиця","Коперника"
"Вулиця","Корнійчука"
"Вулиця","Короленка"
"Вулиця","Корольова"
"Вулиця","Коротка"
"Вулиця","Коротченка"
"Вулиця","Космонавтів"
"Вулиця","Костопільська"
"Вулиця","Котляревського"
"Вулиця","Коцька"
"Вулиця","Коцюбинського"
"Вулиця","Кочерги"
"Вулиця","Кошового"
"Вулиця","Кравчука"
"Вулиця","Красовського"
"Вулиця","Кременецька"
"Вулиця","Кривий Вал"
"Вулиця","Кривоноса"
"Вулиця","Крилова"
"Вулиця","Крушельницької"
"Вулиця","Кульчинської"
"Вулиця","Кульчицької"
"Вулиця","Купріна"
"Вулиця","Курбаса"
"Вулиця","Курська"
"Вулиця","Курчатова"
"Вулиця","Кутузова"
"Вулиця","Лазо"
"Вулиця","Ландау"
"Вулиця","Ланова"
"Вулиця","Левадна"
"Вулиця","Левітана"
"Вулиця","Леонтовича"
"Вулиця","Лесі Українки"
"Вулиця","Лєрмонтова"
"Вулиця","Лєскова"
"Вулиця","Липинського"
"Вулиця","Липлянська"
"Вулиця","Липова"
"Вулиця","Липовецька"
"Вулиця","Лисенка"
"Вулиця","Лідавська"
"Вулиця","Літня"
"Вулиця","Лобачевського"
"Вулиця","Ломоносова"
"Вулиця","Лопатіна"
"Вулиця","Лугова"
"Вулиця","Львівська"
"Вулиця","Лютеранська"
"Вулиця","Лятошинського"
"Вулиця","Мазурця"
"Вулиця","Макаревича"
"Вулиця","Макаренка"
"Вулиця","Макарова"
"Вулиця","Маковського"
"Вулиця","Малинова"
"Вулиця","Малоомелянівська"
"Вулиця","Мамсурова"
"Вулиця","Марка Вовчка"
"Вулиця","Матросова"
"Вулиця","Мельнична"
"Вулиця","Мендєлєєва"
"Вулиця","Механічна"
"Вулиця","Мечнікова"
"Вулиця","Микулицька"
"Вулиця","Милушська"
"Вулиця","Миру"
"Вулиця","Мисливська"
"Вулиця","Міліційна"
"Вулиця","Мінська"
"Вулиця","Міхновського"
"Вулиця","Мічуріна"
"Вулиця","Можайського"
"Вулиця","Молодіжна"
"Вулиця","Молодогвардійська"
"Вулиця","Молодогвардійців"
"Вулиця","Московська"
"Вулиця","Мурашка"
"Вулиця","На таборищі"
"Вулиця","Набережна"
"Вулиця","Нагірна"
"Вулиця","Надозерна"
"Вулиця","Надрічна"
"Вулиця","Наливайка"
"Вулиця","Народних Дружинників"
"Вулиця","Нахімова"
"Вулиця","Невського"
"Вулиця","Нестерова"
"Вулиця","Нечуя-Левицького"
"Вулиця","Нижній проїзд"
"Вулиця","Нижня"
"Вулиця","Нікішева"
"Вулиця","Нова"
"Вулиця","Новочерчицька"
"Вулиця","Овочева"
"Вулиця","Огієнка"
"Вулиця","Озерецька"
"Вулиця","Олександра Богачука"
"Вулиця","Олексія Шума"
"Вулиця","Олени Теліги"
"Вулиця","Олицька"
"Вулиця","Ольжича"
"Вулиця","Ольхова"
"Вулиця","Орджонікідзе"
"Вулиця","Островського"
"Вулиця","Острозька"
"Вулиця","Офіцерська"
"Вулиця","П'ятницька гірка"
"Вулиця","Павлюка"
"Вулиця","Панаса Мирного"
"Вулиця","Панфілова"
"Вулиця","Папаніна"
"Вулиця","Паризької Комуни"
"Вулиця","Паркова"
"Вулиця","Партизанська"
