"street_type","name"
"Вулиця","100-річчя Червоного Хреста"
"Вулиця","2000-річчя Різдва Христового"
"Вулиця","24 серпня"
"Вулиця","Автоливмашівська"
"Вулиця","Базарна"
"Вулиця","Бандери Степана"
"Вулиця","Барвиста"
"Вулиця","Барнича"
"Вулиця","Басараб"
"Вулиця","Бачинського Левка"
"Вулиця","Бельведерська"
"Вулиця","Берегова"
"Вулиця","Биха"
"Вулиця","Біла"
"Вулиця","Білозіра"
"Вулиця","Блавацького Отця"
"Вулиця","Бобикевича"
"Вулиця","Богунська"
"Вулиця","Боєслава"
"Вулиця","Бориславська"
"Вулиця","Борковського Івана"
"Вулиця","Ботанічна"
"Провулок","Будівельний"
"Вулиця","Букатчука"
"Вулиця","Буковинська"
"Вулиця","Вагилевича"
"Вулиця","Валова"
"Вулиця","Василишина"
"Вулиця","Василіянок"
"Вулиця","Вербицького"
"Вулиця","Вербова"
"Вулиця","Верховинська"
"Вулиця","Весела"
"Вулиця","Весняна"
"Вулиця","Виговського"
"Вулиця","Височана"
"Вулиця","Витвицького"
"Вулиця","Вишиваного"
"Вулиця","Вишнева"
"Вулиця","Вишневського"
"Вулиця","Військова"
"Вулиця","Військових ветеранів"
"Вулиця","Вільна"
"Вулиця","Вінницька"
"Провулок","Вінницький"
"Вулиця","Вірменська"
"Вулиця","Вітовського Дмитра"
"Провулок","Вічевий"
"Вулиця","Вовчинецька"
"Вулиця","Войцюка"
"Вулиця","Волинська"
"Вулиця","Володимира Великого"
"Вулиця","Волошина"
"Вулиця","Вороного М."
"Вулиця","Гаврилова"
"Вулиця","Газова"
"Вулиця","Галечко Софії"
"Вулиця","Галицька"
"Вулиця","Гаморака"
"Вулиця","Гарагашьяна А."
"Вулиця","Гарбарська"
"Вулиця","Гаркуші"
"Вулиця","Гвардійська"
"Вулиця","Героїв Крут"
"Вулиця","Героїв УПА"
"Вулиця","Героїв-пожежних"
"Вулиця","Герцена"
"Вулиця","Гімназійна"
"Вулиця","Глібова"
"Вулиця","Глінки"
"Вулиця","Гнатюка академіка"
"Вулиця","Гоголя"
"Вулиця","Голинського сотника"
"Вулиця","Головатого Антона"
"Вулиця","Гончара"
"Вулиця","Горбачевського"
"Вулиця","Гординського"
"Вулиця","Горохолинська"
"Вулиця","Грома полковника"
"Вулиця","Грушевського Михайла"
"Вулиця","Грюнвальдська"
"Вулиця","Гулака-Артемовського"
"Вулиця","Гуцульська"
"Вулиця","Далека"
"Вулиця","Данилевського"
"Вулиця","Дем'янів Лаз"
"Вулиця","Деповська"
"Вулиця","Джерельна"
"Вулиця","Дмитерка Софрона"
"Вулиця","Дністровська"
"Вулиця","Добролюбова"
"Вулиця","Довбуша"
"Вулиця","Довга"
"Вулиця","Довженка"
"Вулиця","Докучаєва"
"Вулиця","Донцова"
"Вулиця","Дорошенка П. Гетьмана"
"Вулиця","Дослідна"
"Вулиця","Достоєвського"
"Вулиця","Драгоманова"
"Вулиця","Дружби"
"Провулок","Дружби"
"Вулиця","Дудаєва Джохара"
"Вулиця","Дучимінської Ольги"
"Площа","Європейська"
"Вулиця","Євшана"
"Вулиця","Єфремова Сергія"
"Вулиця","Желехівського"
"Вулиця","Заболотівська"
"Вулиця","Загвіздянська"
"Вулиця","Заклинських"
"Вулиця","Заливахи О."
"Вулиця","Залізнична"
"Вулиця","Заньковецької"
"Вулиця","Запорізька"
"Вулиця","Затишна"
"Вулиця","Зв’язкова"
"Вулиця","Зелена"
"Провулок","Зелений"
"Вулиця","Зорія М."
"Вулиця","Зразкова"
"Вулиця","Івана Павла ІІ"
"Вулиця","Івасюка В."
"Вулиця","Іллєнка"
"Вулиця","Індустріальна"
"Вулиця","Ірчана"
"Вулиця","Калнишевського П."
"Вулиця","Калуське шосе"
"Вулиця","Каменярів"
"Вулиця","Кармелюка"
"Вулиця","Карпатська"
"Вулиця","Карпатської Січі"
"Вулиця","Карпенка – Карого"
"Вулиця","Карпинця Я."
"Вулиця","Карпінського Ф."
"Вулиця","Касіяна"
"Вулиця","Каховська"
"Вулиця","Квітки - Основ'яненка"
"Вулиця","Київська"
"Вулиця","Кисілевської О."
"Вулиця","Княгинин"
"Вулиця","Кобилянської"
"Вулиця","Кобринської"
"Вулиця","Ковалевської"
"Вулиця","Ковальська"
"Вулиця","Козацька"
"Вулиця","Колективна"
"Вулиця","Коломийська"
"Вулиця","Комунальна"
"Вулиця","Кондукторська"
"Вулиця","Коновальця Євгена"
"Вулиця","Коперніка"
"Вулиця","Короленка"
"Вулиця","Короля Данила"
"Вулиця","Коротка"
"Вулиця","Косівська"
"Вулиця","Космічна"
"Вулиця","Котляревського"
"Вулиця","Коцюбинського"
"Вулиця","Кравецька"
"Вулиця","Кравченко Уляни"
"Вулиця","Крайківського"
"Вулиця","Красівського З."
"Вулиця","Крива"
"Вулиця","Кривоноса"
"Вулиця","Кримська"
"Вулиця","Кропивницького"
"Вулиця","Крука Григора"
"Вулиця","Крушельницької"
"Вулиця","Кубійовича"
"Вулиця","Купчинського Романа"
"Вулиця","Курбаса Леся"
"Вулиця","Курівця Івана"
"Вулиця","Левинського І."
"Вулиця","Левицького Романа"
"Вулиця","Лемківська"
"Вулиця","Ленкавського"
"Провулок","Ленкавського"
"Вулиця","Леонтовича"
"Вулиця","Лепкого Богдана"
"Вулиця","Лермонтова"
"Вулиця","Лесіва Отця"
"Вулиця","Лисенка"
"Вулиця","Лісова"
"Вулиця","Лозова"
"Вулиця","Лучна"
"Вулиця","Львівська"
"Вулиця","Любачівського Кардинала"
"Вулиця","Лятишевського Івана"
"Вулиця","Мазепи Гетьмана"
"Вулиця","Макаренка"
"Вулиця","Макогона"
"Вулиця","Максимовича"
"Вулиця","Макуха І."
"Вулиця","Маланюка В."
"Вулиця","Малицької Костантини"
"Вулиця","Манюха В."
"Вулиця","Марка Вовчка"
"Вулиця","Мартинця Т."
"Вулиця","Мартовича Леся"
"Вулиця","Матейка"
"Вулиця","Матіїва-Мельника"
"Вулиця","Медична"
"Вулиця","Мельника Андрія"
"Вулиця","Мельничука"
"Вулиця","Меморіальна"
"Вулиця","Менделеєва"
"Вулиця","Мечникова"
"Вулиця","Микитинецька"
"Провулок","Микитинецький"
"Вулиця","Миколайчука Івана"
"Вулиця","Мирного Панаса"
"Вулиця","Мирона Івана"
"Вулиця","Миру"
"Вулиця","Міхновського М."
"Площа","Міцкевича"
"Вулиця","Млинарська"
"Вулиця","Молдавська"
"Вулиця","Молодіжна"
"Вулиця","Моршинська"
"Вулиця","Мочульського М."
"Вулиця","Набережна ім. В. Стефаника"
"Вулиця","Надвірнянська"
"Вулиця","Надрічна"
"Вулиця","Нафтова"
"Вулиця","Національної Гвардії"
"Вулиця","Незалежності"
"Вулиця","Некрасова"
"Вулиця","Нескорених"
"Вулиця","Нечуя-Левицького"
"Вулиця","Низова"
"Вулиця","Нова"
"Вулиця","Новаківського"
"Вулиця","Новгородська"
"Вулиця","Новий Світ"
"Вулиця","Об’їздова"
"Вулиця","Огарьова"
"Вулиця","Одеська"
"Вулиця","Озаркевича Євгена"
"Вулиця","Озерна"
"Вулиця","Олесницького Юлія"
"Вулиця","Ольжича"
"Вулиця","Опільського"
"Вулиця","Опришівецька"
"Вулиця","Орлика Пилипа"
"Вулиця","Островського"
"Вулиця","Павлика М."
"Вулиця","Палія Андрія"
"Вулиця","Паркова"
"Вулиця","Пасічанська"
"Вулиця","Пасічна"
"Вулиця","Патона"
"Вулиця","Патріарха Володимира"
"Вулиця","Пашницького"
"Вулиця","Пекарська"
"Вулиця","Перехідна"
"Вулиця","Переяславська"
"Вулиця","Петлюри Симона"
"Вулиця","Петрушевича Є."
"Бульвар","Південний"
"Бульвар","Північний ім. О. Пушкіна"
"Вулиця","Підгірянки Марійки"
"Вулиця","Побутова"
"Вулиця","Подільська"
"Вулиця","Покутська"
"Вулиця","Полєка"
"Вулиця","Полковника Андрусяка"
"Вулиця","Полотнюків"
"Провулок","Полтавський"
"Вулиця","Полуботка"
"Вулиця","Польова"
"Вулиця","Поперечна"
"Вулиця","Пржевальського"
"Вулиця","Привокзальна"
"Площа","Привокзальна"
"Вулиця","Промислова"
"Вулиця","Проста"
"Вулиця","Простора"
"Вулиця","Профспілкова"
"Провулок","Профспілковий"
"Вулиця","Прутська"
"Вулиця","Пстрака Я."
"Вулиця","Пулюя І."
"Вулиця","Радіщева"
"Вулиця","Ребета Л."
"Вулиця","Ремболовича"
"Вулиця","Реміснича"
"Вулиця","Республіканська"
"Вулиця","Рєпіна"
"Вулиця","Рильського"
"Вулиця","Ринок"
"Площа","Ринок"
"Вулиця","Рівна"
"Вулиця","Робітнича"
"Вулиця","Романчука Ю."
"Вулиця","Ромена Роллана"
"Вулиця","Руднєва"
"Вулиця","Русової Софії"
"Вулиця","Руставелі Ш."
"Вулиця","Сабата М."
"Вулиця","Сагайдачного гетьмана"
"Провулок","Садовий"
"Вулиця","Саєвича Миколи"
"Вулиця","Самійленка"
"Вулиця","Сахарова академіка"
"Вулиця","Світла"
"Вулиця","Селянська"
"Вулиця","Сем'янчука І."
"Вулиця","Сєченова"
"Вулиця","Симиренків"
"Вулиця","Симоненка Василя"
"Вулиця","Сірика"
"Вулиця","Січеславська"
"Вулиця","Січинського"
"Вулиця","Січка Василя"
"Вулиця","Січових Стрільців"
"Вулиця","Сковороди Г."
"Вулиця","Сліпого Йосифа"
"Вулиця","Слов'янська"
"Вулиця","Снігуровича С."
"Вулиця","Сніжна"
"Вулиця","Солотвинська"
"Вулиця","Сонячна"
"Вулиця","Сорохтея О."
"Вулиця","Сосенка М."
"Вулиця","Софіївка"
"Провулок","Софіївський"
"Вулиця","Спокійна"
"Вулиця","Спортивна"
"Вулиця","Станіславська"
"Вулиця","Старицького"
"Вулиця","Старозамкова"
"Вулиця","Стельмаховича М."
"Вулиця","Стефаника"
"Вулиця","Стецько Слави"
"Вулиця","Страчених націоналістів"
"Вулиця","Стрийська"
"Вулиця","Стуса Василя"
"Вулиця","Сухомлинського"
"Вулиця","Танкістів"
"Вулиця","Тарнавського генерала"
"Вулиця","Тесленка"
"Вулиця","Тисменицька"
"Вулиця","Тиха"
"Вулиця","Тичини"
"Вулиця","Товарна"
"Провулок","Товарний"
"Вулиця","Токарська"
"Вулиця","Толстого"
"Вулиця","Торгова"
"Вулиця","Трачів"
"Вулиця","Трильовського Кирила"
"Вулиця","Тринітарська"
"Вулиця","Тролейбусна"
"Вулиця","Труша І."
"Вулиця","Угорницька"
"Вулиця","Угорська"
"Вулиця","Ужгородська"
"Вулиця","Українки Лесі"
"Вулиця","Українська"
"Вулиця","Українських Декабристів"
"Вулиця","Української Дивізії"
"Вулиця","Урожайна"
"Вулиця","Ушинського"
"Вулиця","Федьковича"
"Вулиця","Фіголя Михайла"
"Вулиця","Флотська"
"Провулок","Фортечний"
"Вулиця","Франка Івана"
"Вулиця","Харківська"
"Вулиця","Хіміків"
"Вулиця","Хмельницького Богдана"
"Вулиця","Хомишина Григорія"
"Вулиця","Хотинська"
"Вулиця","Хоткевича Гната"
"Вулиця","Хриплинська"
"Вулиця","Цвєк Дарії"
"Вулиця","Целевича Юліана"
"Вулиця","Церковна"
"Вулиця","Циганкова Дмитра"
"Вулиця","Ципки"
"Вулиця","Ціолковського"
"Вулиця","Цьоклера"
"Вулиця","Чайковського"
"Вулиця","Челюскінців"
"Провулок","Червоний"
"Вулиця","Черемшини"
"Вулиця","Чехова"
"Вулиця","Чиста"
"Вулиця","Чорновола"
"Вулиця","Чорноти курінного"
"Вулиця","Чубинського П."
"Вулиця","Шашкевича"
"Вулиця","Шевченка"
"Вулиця","Шептицького"
"Вулиця","Шеремети"
"Вулиця","Шкільна"
"Вулиця","Шопена"
"Вулиця","Шпитальна"
"Вулиця","Шухевичів"
"Вулиця","Юності"
"Вулиця","Яновича В."
"Вулиця","Яремчука Н."
"Вулиця","Яросевича Романа"
"Вулиця","Ясінських"
"Вулиця","Ясна"
