"street_type","name"
"Вулиця","8 Березня"
"Площа","8 Березня"
"Провулок","8 Березня"
"Вулиця","12 Грудня"
"Провулок","12 Грудня"
"Провулок","12 Грудня 1-й"
"Вулиця","20 Березня"
"Вулиця","28 Червня"
"Вулиця","30 років Перемоги"
"Вулиця","40 років Перемоги"
"Вулиця","50 років Перемоги"
"Вулиця","600-річчя"
"Вулиця","1905 року"
"Провулок","1905 року"
"Вулиця","Аграрна"
"Вулиця","Айвазовського"
"Провулок","Айвазовського"
"Вулиця","Ангеліної Паші"
"Вулиця","Арабея Генерала"
"Вулиця","Артема"
"Вулиця","Артинова Архітектора"
"Вулиця","Баженова"
"Шосе","Барське"
"Шосе","Барське"
"Вулиця","Бевза Івана"
"Вулиця","Бестужева"
"Провулок","Бестужева 1-й"
"Провулок","Бестужева 2-й"
"Вулиця","Бєлінського"
"Вулиця","Блока"
"Вулиця","Блюхера"
"Провулок","Блюхера 1-й"
"Провулок","Блюхера 3-й"
"Проїзд","Блюхера 1-й"
"Вулиця","Богомольця"
"Вулиця","Богуна Івана"
"Вулиця","Боженка"
"Вулиця","Ботанічна"
"Провулок","Ботанічний 1-й"
"Проїзд","Ботанічний"
"Вулиця","Бузький Узвіз"
"Вулиця","Будівельника"
"Вулиця","Бучми"
"Провулок","Бучми"
"Вулиця","Ватутіна"
"Вулиця","Верещагіна"
"Вулиця","Верхня"
"Вулиця","Верхарна"
"Вулиця","Визволення"
"Вулиця","Винниченка Володимира"
"Вулиця","Вишенька"
"Провулок","Вишенька"
"Вулиця","Вишнева"
"Провулок","Вишневий 2-й"
"Провулок","Вишневий 3-й"
"Узвіз","Вишневий"
"Вулиця","Вишневського"
"Провулок","Вишневського 2-й"
"Провулок","Вишневського 3-й"
"Вулиця","Вінницьке лісництво"
"Вулиця","Воїнів-Інтернаціоналістів"
"Вулиця","Войцехівського"
"Вулиця","Волинця Петра"
"Вулиця","Володарського"
"Вулиця","Волочаєвська"
"Вулиця","Волочаєвська"
"Вулиця","Гагаріна"
"Площа","Гагаріна"
"Провулок","Гагаріна"
"Проїзд","Гагаріна"
"Вулиця","Гастелло"
"Площа","Героїв Майдану"
"Площа","Героїв Сталінграда"
"Вулиця","Гарцена"
"Провулок","Гарцена"
"Вулиця","Гладкова"
"Провулок","Гладкова"
"Вулиця","Глинки"
"Провулок","Глинки 1-й"
"Провулок","Глинки 2-й"
"Провулок","Глинки 3-й"
"Шосе","Гніванське"
"Вулиця","Гоголя"
"Вулиця","Гонти"
"Вулиця","Гончарова"
"Вулиця","Грабовського"
"Вулиця","Грабовської Вікторії"
"Вулиця","Грибоєдова"
"Провулок","Грибоєдова"
"Вулиця","Громова"
"Вулиця","Грушева"
"Провулок","Грушевий"
"Вулиця","Грушевського Михайла"
"Вулиця","Гулака-Артемовського"
"Провулок","Гулака-Артемовського"
"Вулиця","Дачна"
"Вулиця","Декабристів"
"Вулиця","Димитрова"
"Провулок","Димитрова"
"Вулиця","Димчука"
"Вулиця","Дніпровська"
"Провулок","Добрий"
"Вулиця","Добрих Сусідів"
"Вулиця","Добролюбова"
"Вулиця","Дорошенка Петра"
"Вулиця","Достоєвського"
"Вулиця","Дружня"
"Вулиця","Дундича"
"Вулиця","Едельштейна"
"Вулиця","Енгельса"
"Площа","Енгельса"
"Вулиця","Енергетична"
"Вулиця","Єрмака"
"Провулок","Єрмака"
"Вулиця","Жовтнева"
"Площа","Жовтнева"
"Вулиця","Жукова"
"Провулок","Жукова"
"Вулиця","Жуковського"
"Вулиця","Заболотного Академіка"
"Вулиця","Залізнична"
"Провулок","Залізничний"
"Провулок","Заміський"
"Вулиця","Заньковецької"
"Вулиця","Запорожця Петра"
"Вулиця","Зарічна"
"Вулиця","Затишна"
"Вулиця","Затонського"
"Провулок","Затонського 1-й"
"Вулиця","Збишка"
"Провулок","Зелений"
"Вулиця","Зодчих"
"Вулиця","Зорге Ріхарда"
"Провулок","Зорге Ріхарда 1-й"
"Провулок","Зорге Ріхарда 2-й"
"Провулок","Зоряний"
"Вулиця","Зубриліна"
"Проїзд","Зубриліна"
"Вулиця","Іванова Андрія"
"Вулиця","Ілика Володимира"
"Провулок","Індустріальний 1-й"
"Провулок","Індустріальний 2-й"
"Провулок","Індустріальний"
"Провулок","Кам'янецький"
"Вулиця","Карбишева"
"Провулок","Карбишева"
"Провулок","Карбишева 1-й"
"Провулок","Карбишева 2-й"
"Провулок","Карбишева 3-й"
"Вулиця","Кармалюка"
"Вулиця","Каховського"
"Провулок","Каховського"
"Вулиця","Квітуча"
"Вулиця","Квятека"
"Вулиця","Келецька"
"Вулиця","Кибальчича"
"Вулиця","Київська"
"Провулок","Київський 1-й"
"Провулок","Київський 2-й"
"Вулиця","Киянка Валерія"
"Вулиця","Кірова"
"Вулиця","Кішки Матроса"
"Вулиця","Ковпака"
"Провулок","Кожедуба"
"Вулиця","Козацька"
"Провулок","Козацький"
"Вулиця","Козицького"
"Вулиця","Колгоспна"
"Вулиця","Комарова"
"Провулок","Комарова"
"Провулок","Комарова 1-й"
"Провулок","Комарова 2-й"
"Вулиця","Комітетська"
"Вулиця","Кона Фелікса"
"Вулиця","Конєва"
"Вулиця","Константиновича"
"Вулиця","Кооперативна"
"Провулок","Кооперативний"
"Вулиця","Корнійчука"
"Вулиця","Короленка"
"Вулиця","Корольова"
"Провулок","Корольова 1-й"
"Провулок","Корольова 2-й"
"Вулиця","Коротка"
"Провулок","Короткий"
"Вулиця","Космодем'янської З-ї"
"Проспект","Космонавтів"
"Вулиця","Котляревського"
"Проспект","Коцюбинського"
"Вулиця","Кошового Отамана"
"Провулок","Кошового Отамана"
"Вулиця","Кривоноса"
"Вулиця","Крижевського"
"Провулок","Крилова"
"Вулиця","Кропивницького Марка"
"Вулиця","Крупської"
